Profile Data:
Time                    	UTC Time               	P                  	T   	 	Hu 	Ws   	Wd 	Geopot	Dewp.
[sec]                   	[HH:mm:ss]             	[hPa]              	[°C]	 	[%]	[m/s]	[°]	[m]   	[°C]
0                       	21:56:58               	988.0              	35.7	 	22 	3.0  	001	193   	10.7
1                       	21:56:59               	987.4              	35.0	 	22 	3.9  	247	198   	10.2
2                       	21:57:00               	986.9              	34.7	 	22 	3.9  	247	204   	10.0
3                       	21:57:01               	986.3              	34.7	 	22 	3.9  	247	209   	10.1
4                       	21:57:02               	985.7              	34.7	 	22 	3.9  	247	214   	10.1
5                       	21:57:03               	985.1              	34.6	 	23 	3.9  	247	219   	10.1
6                       	21:57:04               	984.6              	34.6	 	23 	3.9  	251	225   	10.2
7                       	21:57:05               	984.2              	34.7	 	23 	4.7  	283	230   	10.3
8                       	21:57:06               	983.9              	34.8	 	23 	4.7  	283	234   	10.5
9                       	21:57:07               	983.5              	34.8	 	23 	4.7  	283	237   	10.6
10                      	21:57:08               	983.2              	34.8	 	23 	4.7  	283	239   	10.6
11                      	21:57:09               	982.8              	34.8	 	23 	4.7  	283	241   	10.6
12                      	21:57:10               	982.5              	34.7	 	23 	4.7  	283	244   	10.6
13                      	21:57:11               	982.2              	34.7	 	23 	4.7  	283	246   	10.6
14                      	21:57:12               	982.0              	34.8	 	23 	4.7  	283	248   	10.6
15                      	21:57:13               	981.7              	34.8	 	23 	4.7  	283	251   	10.9
16                      	21:57:14               	981.4              	34.9	 	23 	4.7  	283	253   	10.9
17                      	21:57:15               	981.2              	34.8	 	23 	4.7  	283	256   	10.7
18                      	21:57:16               	980.9              	34.7	 	23 	4.8  	284	258   	10.5
19                      	21:57:17               	980.7              	34.5	 	23 	4.8  	286	261   	10.4
20                      	21:57:18               	980.4              	34.4	 	23 	4.8  	287	263   	10.3
21                      	21:57:19               	980.1              	34.3	 	23 	4.8  	288	265   	10.3
22                      	21:57:20               	979.9              	34.4	 	23 	4.8  	289	268   	10.4
23                      	21:57:21               	979.6              	34.5	 	23 	4.8  	289	270   	10.6
24                      	21:57:22               	979.4              	34.5	 	23 	4.8  	290	272   	10.6
25                      	21:57:23               	979.2              	34.4	 	23 	4.8  	291	274   	10.5
26                      	21:57:24               	979.0              	34.3	 	23 	4.8  	291	276   	10.3
27                      	21:57:25               	978.8              	34.1	 	23 	4.8  	291	278   	10.1
28                      	21:57:26               	978.6              	34.0	 	23 	4.9  	291	280   	10.1
29                      	21:57:27               	978.4              	34.0	 	23 	4.9  	293	282   	10.1
30                      	21:57:28               	978.2              	34.0	 	23 	4.7  	292	283   	10.1
31                      	21:57:29               	978.0              	34.0	 	23 	4.3  	290	285   	10.2
32                      	21:57:30               	977.8              	34.0	 	23 	4.1  	290	287   	10.2
33                      	21:57:31               	977.6              	34.0	 	24 	4.0  	289	289   	10.3
34                      	21:57:32               	977.4              	34.0	 	24 	4.0  	289	290   	10.3
35                      	21:57:33               	977.3              	34.0	 	24 	4.0  	288	292   	10.3
36                      	21:57:34               	977.1              	33.9	 	24 	3.9  	288	294   	10.4
37                      	21:57:35               	976.9              	33.9	 	24 	3.9  	288	295   	10.4
38                      	21:57:36               	976.7              	33.9	 	24 	3.8  	288	297   	10.3
39                      	21:57:37               	976.5              	33.9	 	24 	3.8  	288	299   	10.4
40                      	21:57:38               	976.3              	33.9	 	24 	3.8  	287	300   	10.5
41                      	21:57:39               	976.1              	33.8	 	24 	3.8  	287	302   	10.3
42                      	21:57:40               	976.0              	33.8	 	24 	3.8  	287	304   	10.3
43                      	21:57:41               	975.7              	33.7	 	24 	3.8  	287	306   	10.2
44                      	21:57:42               	975.4              	33.7	 	24 	3.8  	287	308   	10.2
45                      	21:57:43               	975.2              	33.7	 	24 	3.8  	287	310   	10.2
46                      	21:57:44               	974.9              	33.7	 	24 	3.9  	289	312   	10.3
47                      	21:57:45               	974.7              	33.7	 	24 	3.8  	288	315   	10.3
48                      	21:57:46               	974.4              	33.7	 	24 	3.7  	288	318   	10.3
49                      	21:57:47               	974.1              	33.7	 	24 	3.7  	288	321   	10.3
50                      	21:57:48               	973.7              	33.6	 	24 	3.6  	287	324   	10.3
51                      	21:57:49               	973.4              	33.6	 	24 	3.6  	288	328   	10.3
52                      	21:57:50               	973.1              	33.5	 	24 	3.6  	288	331   	10.3
53                      	21:57:51               	972.7              	33.5	 	24 	3.6  	288	334   	10.2
54                      	21:57:52               	972.4              	33.5	 	24 	3.6  	288	337   	10.2
55                      	21:57:53               	972.1              	33.5	 	24 	3.6  	288	340   	10.2
56                      	21:57:54               	971.8              	33.4	 	24 	3.6  	288	343   	10.2
57                      	21:57:55               	971.6              	33.4	 	24 	3.6  	288	345   	10.1
58                      	21:57:56               	971.3              	33.4	 	24 	3.5  	288	348   	10.2
59                      	21:57:57               	971.0              	33.3	 	24 	3.5  	287	350   	10.3
60                      	21:57:58               	970.7              	33.3	 	24 	3.4  	287	352   	10.3
61                      	21:57:59               	970.5              	33.3	 	25 	3.4  	287	355   	10.3
62                      	21:58:00               	970.3              	33.3	 	25 	3.4  	287	357   	10.3
63                      	21:58:01               	970.1              	33.3	 	25 	3.4  	286	358   	10.3
64                      	21:58:02               	969.9              	33.3	 	25 	3.3  	285	360   	10.3
65                      	21:58:03               	969.7              	33.3	 	25 	3.3  	284	362   	10.3
66                      	21:58:04               	969.5              	33.3	 	24 	3.2  	285	364   	10.2
67                      	21:58:05               	969.4              	33.3	 	24 	3.2  	284	365   	10.1
68                      	21:58:06               	969.3              	33.2	 	24 	3.2  	283	366   	10.1
69                      	21:58:07               	969.1              	33.2	 	24 	3.1  	282	368   	10.1
70                      	21:58:08               	969.0              	33.2	 	24 	3.0  	282	369   	10.2
71                      	21:58:09               	968.9              	33.2	 	25 	2.9  	281	370   	10.2
72                      	21:58:10               	968.7              	33.2	 	25 	2.8  	280	371   	10.3
73                      	21:58:11               	968.7              	33.2	 	19 	2.7  	279	372   	6.5
74                      	21:58:12               	968.7              	33.2	 	9  	2.5  	278	372   	-3.4
75                      	21:58:13               	968.6              	33.2	 	6  	2.4  	277	373   	-8.6
76                      	21:58:14               	968.6              	33.2	 	6  	2.3  	276	373   	-8.3
77                      	21:58:15               	968.6              	33.2	 	7  	2.2  	277	373   	-7.8
78                      	21:58:16               	968.6              	33.2	 	7  	2.1  	276	373   	-7.3
79                      	21:58:17               	968.5              	33.2	 	7  	2.1  	276	373   	-6.8
80                      	21:58:18               	968.5              	33.2	 	7  	2.0  	275	373   	-6.3
81                      	21:58:19               	968.5              	33.2	 	8  	1.9  	275	373   	-5.9
82                      	21:58:20               	968.5              	33.2	 	8  	1.8  	273	373   	-5.4
83                      	21:58:21               	968.5              	33.2	 	8  	1.7  	273	373   	-5.0
84                      	21:58:22               	968.5              	33.2	 	9  	1.6  	274	373   	-4.6
85                      	21:58:23               	968.5              	33.2	 	9  	1.5  	272	373   	-4.2
86                      	21:58:24               	968.5              	33.2	 	9  	1.4  	272	373   	-3.8
87                      	21:58:25               	968.5              	33.2	 	9  	1.3  	270	373   	-3.3
