Profile Data:
Time                    	UTC Time               	P                  	T   	 	Hu 	Ws   	Wd 	Geopot	Dewp.
88                      	21:58:26               	968.5              	33.2	 	10 	1.3  	270	373   	-2.8
89                      	21:58:27               	968.5              	33.2	 	10 	1.2  	270	373   	-2.3
90                      	21:58:28               	968.5              	33.2	 	11 	1.2  	270	373   	-1.8
91                      	21:58:29               	968.5              	33.1	 	11 	1.2  	270	373   	-1.3
92                      	21:58:30               	968.5              	33.1	 	11 	1.2  	270	373   	-0.8
93                      	21:58:31               	968.5              	33.1	 	12 	1.2  	270	373   	-0.3
94                      	21:58:32               	968.5              	33.1	 	12 	1.2  	270	373   	0.2
95                      	21:58:33               	968.5              	33.1	 	13 	1.2  	270	373   	0.8
96                      	21:58:34               	968.5              	33.1	 	13 	1.2  	270	373   	1.4
97                      	21:58:35               	968.5              	33.1	 	14 	1.2  	270	373   	2.0
98                      	21:58:36               	968.4              	33.1	 	14 	1.2  	270	373   	2.5
99                      	21:58:37               	968.4              	33.1	 	15 	1.2  	270	374   	3.1
100                     	21:58:38               	968.4              	33.1	 	16 	1.2  	270	374   	3.6
101                     	21:58:39               	968.4              	33.1	 	16 	1.2  	270	374   	4.1
102                     	21:58:40               	968.3              	33.1	 	17 	1.2  	270	375   	4.5
103                     	21:58:41               	968.3              	33.1	 	17 	1.2  	270	376   	5.0
104                     	21:58:42               	968.2              	33.1	 	18 	1.2  	270	376   	5.5
105                     	21:58:43               	968.1              	33.1	 	18 	1.2  	270	377   	5.9
106                     	21:58:44               	968.0              	33.1	 	19 	1.2  	270	378   	6.3
107                     	21:58:45               	968.0              	33.0	 	19 	1.2  	270	378   	6.7
108                     	21:58:46               	967.9              	33.0	 	20 	1.2  	270	379   	7.2
109                     	21:58:47               	967.6              	33.0	 	21 	1.3  	270	380   	7.8
110                     	21:58:48               	967.4              	33.0	 	22 	1.6  	270	383   	8.2
111                     	21:58:49               	967.1              	32.9	 	22 	1.9  	270	386   	8.6
112                     	21:58:50               	966.9              	32.9	 	23 	2.1  	270	388   	8.8
113                     	21:58:51               	966.6              	32.8	 	23 	2.4  	270	391   	9.2
114                     	21:58:52               	966.3              	32.8	 	24 	2.6  	270	394   	9.7
115                     	21:58:53               	966.1              	32.8	 	25 	2.9  	270	396   	10.0
116                     	21:58:54               	965.8              	32.8	 	25 	3.1  	270	399   	10.2
117                     	21:58:55               	965.5              	32.8	 	25 	3.4  	270	402   	10.2
118                     	21:58:56               	965.2              	32.8	 	25 	3.7  	270	404   	10.1
119                     	21:58:57               	964.9              	32.8	 	25 	3.9  	271	407   	10.1
120                     	21:58:58               	964.6              	32.8	 	25 	4.0  	272	409   	10.0
121                     	21:58:59               	964.4              	32.8	 	25 	4.2  	273	412   	9.9
122                     	21:59:00               	964.1              	32.8	 	25 	4.4  	273	415   	10.0
123                     	21:59:01               	963.9              	32.7	 	25 	4.6  	274	418   	10.1
124                     	21:59:02               	963.6              	32.7	 	25 	4.8  	274	420   	10.0
125                     	21:59:03               	963.3              	32.7	 	25 	5.0  	275	423   	10.0
126                     	21:59:04               	963.1              	32.7	 	25 	5.2  	276	424   	9.9
127                     	21:59:05               	962.9              	32.7	 	24 	5.4  	276	426   	9.7
128                     	21:59:06               	962.8              	32.7	 	25 	5.6  	276	427   	9.9
129                     	21:59:07               	962.6              	32.7	 	25 	5.6  	277	429   	9.9
130                     	21:59:08               	962.4              	32.6	 	25 	5.6  	277	431   	10.0
131                     	21:59:09               	962.3              	32.6	 	25 	5.4  	278	432   	10.1
132                     	21:59:10               	962.1              	32.5	 	25 	5.2  	279	433   	10.2
133                     	21:59:11               	962.0              	32.6	 	25 	5.0  	280	434   	10.2
134                     	21:59:12               	961.9              	32.6	 	26 	4.9  	281	435   	10.3
135                     	21:59:13               	961.7              	32.5	 	25 	4.7  	282	436   	10.2
136                     	21:59:14               	961.6              	32.5	 	25 	4.5  	283	438   	10.2
137                     	21:59:15               	961.5              	32.5	 	25 	4.4  	284	439   	10.1
138                     	21:59:16               	961.3              	32.5	 	25 	4.2  	286	441   	10.1
139                     	21:59:17               	961.2              	32.5	 	25 	4.0  	286	442   	10.1
140                     	21:59:18               	961.0              	32.5	 	25 	3.9  	286	444   	10.0
141                     	21:59:19               	960.8              	32.4	 	25 	3.8  	287	445   	10.1
142                     	21:59:20               	960.7              	32.4	 	25 	3.7  	287	447   	10.1
143                     	21:59:21               	960.5              	32.4	 	25 	3.5  	287	448   	10.1
144                     	21:59:22               	960.4              	32.4	 	25 	3.4  	288	449   	10.1
145                     	21:59:23               	960.2              	32.4	 	26 	3.3  	287	451   	10.2
146                     	21:59:24               	960.1              	32.4	 	26 	3.2  	287	452   	10.2
147                     	21:59:25               	959.9              	32.4	 	25 	3.0  	288	454   	10.0
148                     	21:59:26               	959.8              	32.3	 	25 	2.9  	287	455   	10.0
149                     	21:59:27               	959.6              	32.3	 	25 	2.8  	287	456   	10.0
150                     	21:59:28               	959.4              	32.3	 	25 	2.7  	288	458   	10.0
151                     	21:59:29               	959.3              	32.3	 	25 	2.7  	287	460   	10.0
152                     	21:59:30               	959.1              	32.3	 	26 	2.7  	287	461   	10.1
153                     	21:59:31               	959.0              	32.3	 	26 	2.7  	287	463   	10.1
154                     	21:59:32               	958.8              	32.3	 	26 	2.7  	286	464   	10.1
155                     	21:59:33               	958.6              	32.3	 	26 	2.7  	285	466   	10.1
156                     	21:59:34               	958.5              	32.2	 	26 	2.6  	283	467   	10.0
157                     	21:59:35               	958.3              	32.2	 	26 	2.6  	282	469   	10.1
158                     	21:59:36               	958.1              	32.2	 	26 	2.6  	281	470   	10.1
159                     	21:59:37               	958.0              	32.1	 	26 	2.6  	280	472   	10.0
160                     	21:59:38               	957.8              	32.1	 	26 	2.6  	279	473   	9.9
161                     	21:59:39               	957.6              	32.1	 	26 	2.6  	278	475   	9.9
162                     	21:59:40               	957.5              	32.1	 	26 	2.6  	277	477   	10.0
163                     	21:59:41               	957.3              	32.1	 	26 	2.6  	276	478   	10.1
164                     	21:59:42               	957.1              	32.1	 	26 	2.5  	275	480   	10.1
165                     	21:59:43               	956.9              	32.1	 	26 	2.5  	275	482   	10.1
166                     	21:59:44               	956.8              	32.1	 	26 	2.5  	274	483   	10.1
167                     	21:59:45               	956.6              	32.1	 	26 	2.5  	272	485   	10.1
168                     	21:59:46               	956.4              	32.1	 	26 	2.5  	271	487   	10.0
169                     	21:59:47               	956.2              	32.1	 	26 	2.4  	270	488   	9.9
170                     	21:59:48               	956.0              	32.1	 	26 	2.4  	269	490   	9.9
171                     	21:59:49               	955.9              	32.0	 	25 	2.4  	269	491   	9.8
172                     	21:59:50               	955.7              	32.0	 	25 	2.3  	267	493   	9.8
173                     	21:59:51               	955.5              	32.0	 	26 	2.3  	266	495   	9.9
174                     	21:59:52               	955.3              	32.0	 	26 	2.3  	265	497   	9.9
175                     	21:59:53               	955.1              	31.9	 	26 	2.3  	264	498   	9.9
176                     	21:59:54               	954.9              	31.9	 	26 	2.2  	263	500   	9.9
177                     	21:59:55               	954.8              	31.9	 	26 	2.2  	263	502   	9.8
178                     	21:59:56               	954.6              	31.9	 	26 	2.2  	263	504   	9.8
179                     	21:59:57               	954.4              	31.9	 	26 	2.2  	262	506   	9.8
180                     	21:59:58               	954.2              	31.9	 	26 	2.1  	262	508   	9.9
181                     	21:59:59               	954.0              	31.9	 	26 	2.1  	262	509   	9.9
182                     	22:00:00               	953.8              	31.9	 	26 	2.1  	261	511   	9.8
183                     	22:00:01               	953.7              	31.9	 	26 	2.0  	261	513   	9.8
184                     	22:00:02               	953.5              	31.9	 	25 	2.0  	261	514   	9.7
185                     	22:00:03               	953.3              	31.9	 	25 	2.0  	260	516   	9.6
186                     	22:00:04               	953.1              	31.8	 	25 	1.9  	259	517   	9.6
187                     	22:00:05               	953.0              	31.8	 	25 	1.9  	259	519   	9.6
188                     	22:00:06               	952.8              	31.7	 	26 	1.9  	261	520   	9.7
189                     	22:00:07               	952.7              	31.7	 	26 	1.9  	261	522   	9.8
190                     	22:00:08               	952.5              	31.7	 	26 	1.9  	261	523   	9.9
191                     	22:00:09               	952.4              	31.8	 	26 	1.9  	261	524   	9.9
192                     	22:00:10               	952.2              	31.8	 	26 	1.9  	261	526   	10.0
193                     	22:00:11               	952.1              	31.8	 	26 	1.9  	261	527   	10.1
194                     	22:00:12               	952.0              	31.8	 	26 	1.9  	261	528   	10.1
195                     	22:00:13               	951.9              	31.8	 	26 	1.9  	259	530   	10.0
196                     	22:00:14               	951.8              	31.8	 	26 	1.9  	259	531   	10.0
197                     	22:00:15               	951.6              	31.7	 	26 	1.9  	257	532   	10.0
198                     	22:00:16               	951.5              	31.7	 	27 	1.9  	258	533   	10.2
199                     	22:00:17               	951.4              	31.7	 	26 	1.9  	258	534   	10.1
200                     	22:00:18               	951.3              	31.6	 	26 	2.0  	256	535   	10.0
201                     	22:00:19               	951.2              	31.6	 	26 	2.0  	256	536   	9.9
202                     	22:00:20               	951.1              	31.6	 	26 	2.0  	255	537   	9.8
203                     	22:00:21               	950.9              	31.6	 	26 	2.0  	255	538   	9.7
204                     	22:00:22               	950.8              	31.6	 	26 	2.0  	255	539   	9.7
205                     	22:00:23               	950.7              	31.6	 	26 	2.0  	254	540   	9.7
206                     	22:00:24               	950.6              	31.5	 	26 	2.0  	254	541   	9.8
207                     	22:00:25               	950.4              	31.5	 	26 	2.1  	253	543   	9.8
208                     	22:00:26               	950.3              	31.5	 	26 	2.1  	253	544   	9.8
209                     	22:00:27               	950.1              	31.5	 	26 	2.1  	253	545   	9.9
210                     	22:00:28               	950.0              	31.5	 	26 	2.2  	252	547   	9.9
211                     	22:00:29               	949.9              	31.5	 	26 	2.2  	252	548   	9.9
212                     	22:00:30               	949.7              	31.5	 	26 	2.2  	251	550   	9.9
213                     	22:00:31               	949.6              	31.5	 	26 	2.3  	252	551   	9.8
214                     	22:00:32               	949.5              	31.5	 	26 	2.3  	252	552   	9.8
215                     	22:00:33               	949.4              	31.5	 	26 	2.3  	252	553   	9.7
216                     	22:00:34               	949.2              	31.5	 	26 	2.3  	252	554   	9.7
217                     	22:00:35               	949.1              	31.5	 	26 	2.3  	252	555   	9.7
218                     	22:00:36               	949.0              	31.5	 	26 	2.3  	252	556   	9.7
219                     	22:00:37               	948.9              	31.4	 	26 	2.3  	252	557   	9.6
220                     	22:00:38               	948.7              	31.4	 	26 	2.3  	252	559   	9.6
221                     	22:00:39               	948.6              	31.4	 	26 	2.4  	252	560   	9.3
222                     	22:00:40               	948.5              	31.4	 	26 	2.4  	252	561   	9.4
223                     	22:00:41               	948.4              	31.4	 	26 	2.4  	252	562   	9.6
224                     	22:00:42               	948.2              	31.3	 	26 	2.4  	253	563   	9.7
225                     	22:00:43               	948.1              	31.3	 	26 	2.4  	253	565   	9.8
226                     	22:00:44               	948.0              	31.3	 	27 	2.4  	253	566   	9.9
227                     	22:00:45               	947.9              	31.3	 	27 	2.5  	253	567   	10.0
228                     	22:00:46               	947.7              	31.3	 	27 	2.5  	252	568   	10.1
229                     	22:00:47               	947.6              	31.3	 	27 	2.5  	252	570   	10.1
230                     	22:00:48               	947.5              	31.3	 	27 	2.5  	252	571   	10.1
231                     	22:00:49               	947.4              	31.3	 	27 	2.5  	252	572   	10.1
232                     	22:00:50               	947.3              	31.3	 	27 	2.5  	252	573   	10.2
233                     	22:00:51               	947.2              	31.2	 	28 	2.5  	252	574   	10.3
234                     	22:00:52               	947.1              	31.2	 	27 	2.5  	251	575   	10.2
235                     	22:00:53               	946.9              	31.2	 	27 	2.5  	251	576   	10.1
236                     	22:00:54               	946.8              	31.2	 	27 	2.5  	251	576   	10.0
237                     	22:00:55               	946.7              	31.2	 	27 	2.5  	251	577   	10.0
238                     	22:00:56               	946.6              	31.2	 	27 	2.5  	251	579   	10.0
239                     	22:00:57               	946.5              	31.2	 	27 	2.5  	249	580   	10.0
240                     	22:00:58               	946.4              	31.2	 	27 	2.5  	249	581   	10.0
241                     	22:00:59               	946.3              	31.2	 	27 	2.5  	249	582   	10.0
242                     	22:01:00               	946.2              	31.2	 	27 	2.5  	249	583   	10.1
243                     	22:01:01               	946.0              	31.2	 	27 	2.4  	249	584   	10.1
244                     	22:01:02               	945.9              	31.2	 	27 	2.4  	249	585   	10.2
245                     	22:01:03               	945.8              	31.1	 	27 	2.4  	249	587   	10.2
246                     	22:01:04               	945.7              	31.1	 	27 	2.4  	249	588   	10.1
247                     	22:01:05               	945.6              	31.1	 	27 	2.4  	248	589   	10.0
248                     	22:01:06               	945.5              	31.1	 	27 	2.4  	248	590   	9.8
249                     	22:01:07               	945.4              	31.1	 	27 	2.4  	250	591   	9.8
250                     	22:01:08               	945.2              	31.1	 	27 	2.4  	250	592   	9.7
251                     	22:01:09               	945.1              	31.1	 	27 	2.3  	249	593   	9.7
252                     	22:01:10               	945.0              	31.1	 	27 	2.3  	250	594   	9.8
253                     	22:01:11               	944.9              	31.1	 	27 	2.3  	250	595   	9.8
254                     	22:01:12               	944.8              	31.1	 	27 	2.3  	250	596   	9.9
255                     	22:01:13               	944.7              	31.1	 	27 	2.3  	250	597   	10.0
256                     	22:01:14               	944.6              	31.1	 	28 	2.3  	252	598   	10.2
257                     	22:01:15               	944.5              	31.1	 	26 	2.3  	252	599   	9.6
258                     	22:01:16               	944.4              	31.1	 	27 	2.3  	252	600   	9.8
259                     	22:01:17               	944.2              	31.0	 	27 	2.3  	253	601   	9.8
260                     	22:01:18               	944.1              	31.0	 	27 	2.3  	253	602   	9.9
261                     	22:01:19               	944.0              	31.0	 	27 	2.2  	254	604   	10.0
262                     	22:01:20               	943.8              	31.0	 	28 	2.2  	257	605   	10.1
263                     	22:01:21               	943.7              	31.0	 	27 	2.2  	258	606   	10.0
264                     	22:01:22               	943.6              	31.0	 	27 	2.2  	261	607   	9.8
265                     	22:01:23               	943.4              	30.9	 	27 	2.2  	262	609   	9.7
266                     	22:01:24               	943.2              	30.9	 	27 	2.1  	264	611   	9.5
267                     	22:01:25               	943.0              	30.8	 	27 	2.1  	266	613   	9.6
268                     	22:01:26               	942.8              	30.8	 	27 	2.1  	269	615   	9.6
269                     	22:01:27               	942.6              	30.8	 	27 	2.1  	270	616   	9.7
270                     	22:01:28               	942.4              	30.8	 	27 	2.1  	271	618   	9.8
271                     	22:01:29               	942.2              	30.8	 	27 	2.1  	273	621   	9.9
272                     	22:01:30               	941.9              	30.8	 	27 	2.1  	274	624   	9.9
273                     	22:01:31               	941.6              	30.8	 	28 	2.1  	277	626   	10.0
274                     	22:01:32               	941.3              	30.8	 	28 	2.1  	280	629   	10.1
275                     	22:01:33               	941.1              	30.8	 	28 	2.1  	281	631   	10.1
276                     	22:01:34               	940.8              	30.8	 	28 	2.2  	284	634   	10.1
277                     	22:01:35               	940.5              	30.8	 	28 	2.2  	286	637   	10.1
278                     	22:01:36               	940.2              	30.7	 	28 	2.2  	289	640   	10.0
279                     	22:01:37               	939.9              	30.7	 	28 	2.3  	291	643   	9.9
280                     	22:01:38               	939.6              	30.7	 	28 	2.3  	294	645   	9.9
281                     	22:01:39               	939.3              	30.7	 	28 	2.4  	293	648   	9.9
282                     	22:01:40               	939.1              	30.7	 	28 	2.4  	294	651   	9.9
283                     	22:01:41               	938.8              	30.7	 	28 	2.4  	295	653   	9.9
284                     	22:01:42               	938.6              	30.7	 	28 	2.4  	295	655   	9.9
285                     	22:01:43               	938.4              	30.7	 	28 	2.5  	296	657   	9.9
286                     	22:01:44               	938.2              	30.7	 	28 	2.5  	297	659   	9.9
287                     	22:01:45               	938.0              	30.6	 	28 	2.5  	298	661   	9.9
288                     	22:01:46               	937.7              	30.6	 	28 	2.6  	300	663   	9.9
289                     	22:01:47               	937.5              	30.6	 	28 	2.6  	301	665   	9.9
290                     	22:01:48               	937.4              	30.6	 	28 	2.6  	303	667   	9.9
291                     	22:01:49               	937.2              	30.6	 	28 	2.6  	305	668   	9.9
292                     	22:01:50               	937.0              	30.6	 	28 	2.7  	306	670   	9.9
293                     	22:01:51               	936.8              	30.5	 	28 	2.7  	308	672   	9.9
294                     	22:01:52               	936.6              	30.5	 	28 	2.7  	310	674   	9.8
295                     	22:01:53               	936.4              	30.5	 	27 	2.7  	311	675   	9.6
296                     	22:01:54               	936.3              	30.4	 	28 	2.7  	311	677   	9.8
297                     	22:01:55               	936.1              	30.4	 	28 	2.7  	313	679   	10.0
298                     	22:01:56               	935.9              	30.4	 	28 	2.7  	314	681   	9.9
299                     	22:01:57               	935.7              	30.4	 	28 	2.8  	315	683   	9.9
300                     	22:01:58               	935.5              	30.4	 	28 	2.8  	317	684   	9.9
301                     	22:01:59               	935.3              	30.4	 	28 	2.8  	317	686   	9.9
302                     	22:02:00               	935.1              	30.4	 	28 	2.8  	318	687   	9.8
303                     	22:02:01               	934.9              	30.4	 	28 	2.9  	319	689   	9.8
304                     	22:02:02               	934.7              	30.4	 	28 	2.9  	319	691   	9.7
305                     	22:02:03               	934.5              	30.3	 	28 	2.9  	319	693   	9.8
306                     	22:02:04               	934.3              	30.3	 	28 	3.0  	320	696   	10.0
307                     	22:02:05               	934.1              	30.2	 	29 	3.0  	319	698   	10.0
308                     	22:02:06               	933.8              	30.2	 	29 	3.0  	319	701   	10.1
309                     	22:02:07               	933.6              	30.2	 	29 	3.0  	318	703   	10.1
310                     	22:02:08               	933.3              	30.2	 	29 	3.1  	318	705   	10.0
311                     	22:02:09               	933.0              	30.2	 	29 	3.0  	317	708   	10.0
312                     	22:02:10               	932.8              	30.2	 	28 	3.1  	316	710   	9.8
313                     	22:02:11               	932.5              	30.2	 	28 	3.1  	316	713   	9.7
314                     	22:02:12               	932.2              	30.1	 	28 	3.1  	316	715   	9.7
315                     	22:02:13               	932.0              	30.1	 	28 	3.1  	316	718   	9.7
316                     	22:02:14               	931.7              	30.1	 	28 	3.1  	316	720   	9.8
317                     	22:02:15               	931.4              	30.0	 	29 	3.1  	316	723   	9.8
318                     	22:02:16               	931.2              	30.0	 	29 	3.1  	316	726   	9.8
319                     	22:02:17               	930.9              	30.0	 	28 	3.1  	316	729   	9.7
320                     	22:02:18               	930.6              	29.9	 	29 	3.1  	316	732   	9.8
321                     	22:02:19               	930.4              	29.9	 	29 	3.1  	316	734   	9.8
322                     	22:02:20               	930.1              	29.9	 	29 	3.1  	316	736   	9.8
323                     	22:02:21               	929.9              	29.9	 	29 	3.1  	317	739   	9.9
324                     	22:02:22               	929.6              	29.9	 	29 	3.1  	317	741   	9.9
325                     	22:02:23               	929.4              	29.8	 	29 	3.1  	316	743   	10.0
326                     	22:02:24               	929.1              	29.8	 	29 	3.0  	316	745   	9.9
327                     	22:02:25               	928.9              	29.8	 	29 	3.0  	316	748   	9.8
328                     	22:02:26               	928.7              	29.8	 	29 	2.9  	316	750   	9.6
329                     	22:02:27               	928.4              	29.8	 	28 	2.9  	315	752   	9.5
330                     	22:02:28               	928.2              	29.7	 	29 	2.9  	314	754   	9.7
331                     	22:02:29               	927.9              	29.7	 	29 	2.8  	314	757   	9.7
332                     	22:02:30               	927.6              	29.6	 	29 	2.8  	313	759   	9.7
333                     	22:02:31               	927.4              	29.6	 	29 	2.8  	311	762   	9.7
334                     	22:02:32               	927.1              	29.6	 	29 	2.8  	310	765   	9.7
335                     	22:02:33               	926.8              	29.5	 	29 	2.7  	310	767   	9.8
336                     	22:02:34               	926.5              	29.5	 	29 	2.7  	308	770   	9.8
337                     	22:02:35               	926.3              	29.5	 	29 	2.7  	307	773   	9.8
338                     	22:02:36               	926.0              	29.4	 	29 	2.7  	305	775   	9.8
339                     	22:02:37               	925.8              	29.4	 	29 	2.7  	304	778   	9.7
340                     	22:02:38               	925.5              	29.4	 	29 	2.7  	302	780   	9.7
341                     	22:02:39               	925.2              	29.3	 	29 	2.7  	301	783   	9.7
342                     	22:02:40               	925.0              	29.3	 	30 	2.6  	299	785   	9.7
343                     	22:02:41               	924.7              	29.2	 	30 	2.7  	298	788   	9.6
344                     	22:02:42               	924.4              	29.2	 	29 	2.7  	296	791   	9.6
345                     	22:02:43               	924.1              	29.2	 	30 	2.7  	296	794   	9.6
346                     	22:02:44               	923.7              	29.2	 	30 	2.7  	295	797   	9.7
347                     	22:02:45               	923.4              	29.2	 	30 	2.7  	295	800   	9.7
348                     	22:02:46               	923.1              	29.2	 	30 	2.7  	295	803   	9.7
349                     	22:02:47               	922.9              	29.2	 	30 	2.7  	295	805   	9.8
350                     	22:02:48               	922.7              	29.2	 	30 	2.8  	294	808   	9.8
351                     	22:02:49               	922.4              	29.2	 	30 	2.8  	294	810   	9.7
352                     	22:02:50               	922.2              	29.2	 	30 	2.8  	294	812   	9.8
353                     	22:02:51               	921.9              	29.2	 	30 	2.8  	294	815   	9.7
